,emotion,variance,entropy
0,amusement,0.030917884048150508,11.097100222626185
1,awe,0.030385672433035714,10.868053568805596
2,contentment,0.029428681042729592,10.899822475522045
3,excitement,0.03097011519451531,10.908475082906211
4,anger,0.029620097257653064,10.788330990830142
5,disgust,0.03029457310267857,11.004966926823633
6,fear,0.02787876175860969,10.943962247873129
7,sadness,0.028710538903061227,10.882715433551475
8,something else,0.02890889568718112,10.680863934252509
